name;image_name;window_size;sigma;dmin;imscale;time;ssd;ssim;ncc
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.5491
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;0;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;0;575.929;0.912145;27.365
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;2;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;2;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;13;5;200;1;4;1478.29;0.815335;23.6794
iterative;aloe1;13;5;200;1;4;1480.05;0.817066;23.7101
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;2;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;2;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;13;5;200;1;4;1478.29;0.815335;23.6794
iterative;aloe1;13;5;200;1;4;1480.05;0.817066;23.7101
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;art1;3;5;200;1;1;247.367;0.955276;42.1453
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;0;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;0;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;0;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;0;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;0;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;0;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;0;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;0;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;0;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;0;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;0;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;0;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;2;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;2;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;0;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;0;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;4;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;4;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;0;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;0;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;baby1;3;5;200;1;0;393.405;0.963538;31.474
naive;baby1;3;5;200;1;0;392.829;0.963593;31.4738
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;0;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;0;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe2;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe2;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe2;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe2;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe2;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe2;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe2;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe2;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe2;3;5;200;1;1;317.691;0.939632;28.3966
iterative;aloe2;3;5;200;1;1;346.712;0.937262;28.3201
naive;aloe2;5;5;200;1;0;553.857;0.913112;27.4098
iterative;aloe2;5;5;200;1;0;575.834;0.912032;27.364
naive;aloe2;7;5;200;1;1;789.937;0.881456;26.3127
iterative;aloe2;7;5;200;1;1;797.0;0.883032;26.308
naive;aloe2;11;5;200;1;2;1256.7;0.838285;24.54
iterative;aloe2;11;5;200;1;2;1261.91;0.840645;24.5894
naive;aloe2;3;5;200;1;0;320.188;0.938607;28.3843
iterative;aloe2;3;5;200;1;0;352.975;0.936061;28.2935
naive;aloe2;5;5;200;1;0;562.764;0.909561;27.3298
iterative;aloe2;5;5;200;1;0;583.598;0.908288;27.2822
naive;aloe2;7;5;200;1;1;806.372;0.874004;26.145
iterative;aloe2;7;5;200;1;1;813.245;0.875529;26.1485
naive;aloe2;11;5;200;1;3;1279.04;0.826449;24.2989
iterative;aloe2;11;5;200;1;3;1287.98;0.828751;24.3338
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;0;346.807;0.937304;28.3237
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;2;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;2;1262.47;0.841186;24.5955
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
naive;aloe1;3;5;200;1;0;317.442;0.939655;28.3997
naive;baby1;3;5;200;1;1;393.405;0.963538;31.474
naive;baby1;3;5;200;1;0;393.405;0.963538;31.474
naive;baby1;3;5;200;1;0;393.405;0.963538;31.474
naive;baby1;3;5;200;1;0;393.405;0.963538;31.474
naive;baby1;3;5;200;1;0;393.405;0.963538;31.474
naive;baby1;3;5;200;1;0;393.405;0.963538;31.474
naive;baby1;3;5;200;1;0;393.405;0.963538;31.474
naive;aloe1;3;5;200;1;1;317.442;0.939655;28.3997
iterative;aloe1;3;5;200;1;1;346.807;0.937304;28.3237
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4114
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;789.621;0.881801;26.3178
iterative;aloe1;7;5;200;1;1;797.341;0.883376;26.3135
naive;aloe1;11;5;200;1;3;1256.52;0.838809;24.549
iterative;aloe1;11;5;200;1;3;1262.47;0.841186;24.5955
naive;baby1;3;5;200;1;0;407.469;0.960465;31.4003
iterative;baby1;3;5;200;1;0;397.666;0.964721;31.5019
naive;baby1;5;5;200;1;0;669.781;0.945365;31.0944
iterative;baby1;5;5;200;1;0;680.262;0.947303;31.1223
naive;baby1;7;5;200;1;1;957.274;0.921734;30.6233
iterative;baby1;7;5;200;1;1;955.705;0.923202;30.647
naive;baby1;11;5;200;1;2;1522.25;0.8864;29.8952
iterative;baby1;11;5;200;1;2;1510.46;0.888815;29.9276
naive;art1;3;5;200;1;1;254.267;0.950705;41.9128
iterative;art1;3;5;200;1;1;279.601;0.958625;42.2993
naive;art1;5;5;200;1;2;380.285;0.939791;41.4856
iterative;art1;5;5;200;1;2;415.526;0.944286;41.6062
naive;art1;7;5;200;1;6;507.227;0.915599;40.5249
iterative;art1;7;5;200;1;6;551.917;0.919126;40.5562
naive;art1;11;5;200;1;10;740.294;0.885182;39.0979
iterative;art1;11;5;200;1;10;781.453;0.889884;39.1383
naive;cloth1;3;5;200;1;0;292.109;0.96382;41.146
iterative;cloth1;3;5;200;1;0;320.851;0.967059;41.3498
naive;cloth1;5;5;200;1;1;498.641;0.949049;40.3091
iterative;cloth1;5;5;200;1;1;516.595;0.950226;40.3932
naive;cloth1;7;5;200;1;1;709.672;0.924964;39.1987
iterative;cloth1;7;5;200;1;1;725.166;0.925915;39.2433
naive;cloth1;11;5;200;1;3;1080.76;0.888463;37.3975
iterative;cloth1;11;5;200;1;3;1087.28;0.890606;37.5201
naive;cones1;3;5;200;1;0;464.963;0.905532;48.1542
iterative;cones1;3;5;200;1;0;391.678;0.921442;48.5947
naive;cones1;5;5;200;1;1;739.546;0.888818;46.857
iterative;cones1;5;5;200;1;1;698.834;0.896927;47.0145
naive;cones1;7;5;200;1;1;1079.51;0.846845;44.9962
iterative;cones1;7;5;200;1;1;1055.34;0.853006;45.0937
naive;cones1;11;5;200;1;2;1721.11;0.788014;42.004
iterative;cones1;11;5;200;1;2;1693.79;0.798161;42.1721
naive;cones1;3;5;200;1;0;464.963;0.905532;48.1542
iterative;cones1;3;5;200;1;0;391.678;0.921442;48.5947
naive;cones1;3;5;200;1;0;464.963;0.905532;48.1542
iterative;cones1;3;5;200;1;0;391.678;0.921442;48.5947
naive;cones1;3;5;200;1;0;464.963;0.905532;48.1542
iterative;cones1;3;5;200;1;0;391.678;0.921442;48.5947
naive;cones1;3;5;200;1;1;464.963;0.905532;48.1542
iterative;cones1;3;5;200;1;1;391.678;0.921442;48.5947
naive;cones1;3;5;200;1;0;464.963;0.905532;48.1542
iterative;cones1;3;5;200;1;0;391.678;0.921442;48.5947
naive;cones1;3;5;200;1;0;464.963;0.905532;48.1542
iterative;cones1;3;5;200;1;0;391.678;0.921442;48.5947
naive;cones1;5;5;200;1;0;739.546;0.888818;46.8571
iterative;cones1;5;5;200;1;0;698.834;0.896927;47.0145
naive;cones1;7;5;200;1;1;1079.51;0.846844;44.9962
iterative;cones1;7;5;200;1;1;1055.34;0.853006;45.0937
naive;cones1;11;5;200;1;1;1721.11;0.788014;42.004
iterative;cones1;11;5;200;1;1;1693.79;0.798161;42.1721
naive;cones1;3;5;200;1;0;464.963;0.905532;48.1542
iterative;cones1;3;5;200;1;0;391.678;0.921442;48.5947
naive;cones1;5;5;200;1;0;739.546;0.888818;46.8571
iterative;cones1;5;5;200;1;0;698.834;0.896927;47.0145
naive;cones1;7;5;200;1;0;1079.51;0.846844;44.9962
iterative;cones1;7;5;200;1;0;1055.34;0.853006;45.0937
naive;cones1;11;5;200;1;1;1721.11;0.788014;42.004
iterative;cones1;11;5;200;1;1;1693.79;0.798161;42.1721
naive;aloe1;3;5;200;1;0;349.157;0.931911;28.1708
iterative;aloe1;3;5;200;1;0;372.185;0.935097;28.288
naive;aloe1;5;5;200;1;1;553.775;0.913199;27.4113
iterative;aloe1;5;5;200;1;1;575.929;0.912145;27.365
naive;aloe1;7;5;200;1;1;791.435;0.880474;26.2695
iterative;aloe1;7;5;200;1;1;806.487;0.882372;26.2849
naive;aloe1;11;5;200;1;3;1254.48;0.838594;24.5478
iterative;aloe1;11;5;200;1;3;1256.61;0.841407;24.6022
naive;art1;3;5;200;1;0;254.267;0.950705;41.9128
iterative;art1;3;5;200;1;0;279.601;0.958625;42.2993
naive;art1;5;5;200;1;2;380.468;0.939773;41.4829
iterative;art1;5;5;200;1;2;415.526;0.944286;41.6062
naive;art1;7;5;200;1;4;507.418;0.915407;40.5171
iterative;art1;7;5;200;1;4;551.917;0.919126;40.5562
naive;art1;11;5;200;1;11;740.38;0.885043;39.0904
iterative;art1;11;5;200;1;11;781.453;0.889884;39.1383
naive;adirondack_im1;3;5;200;1;3;13246.7;0.971961;12.0014
iterative;adirondack_im1;3;5;200;1;3;13468.1;0.974548;12.8529
naive;adirondack_im1;5;5;200;1;7;5528.81;0.959765;11.1698
iterative;adirondack_im1;5;5;200;1;7;5720.11;0.961702;11.3648
naive;adirondack_im1;7;5;200;1;14;6125.02;0.942923;9.29633
iterative;adirondack_im1;7;5;200;1;14;6322.69;0.944361;9.35572
naive;adirondack_im1;11;5;200;1;37;7599.05;0.915198;7.55615
iterative;adirondack_im1;11;5;200;1;37;7720.65;0.916726;7.67653
naive;cable_im1;3;5;200;1;3;14857.9;0.937682;39.0634
iterative;cable_im1;3;5;200;1;3;14958.6;0.940813;40.7907
naive;cable_im1;5;5;200;1;8;4133.18;0.920093;38.6186
iterative;cable_im1;5;5;200;1;8;4237.83;0.923105;39.2113
naive;cable_im1;7;5;200;1;15;5290.71;0.890787;36.2766
iterative;cable_im1;7;5;200;1;15;5397.92;0.893117;36.5956
naive;cable_im1;11;5;200;1;36;4813.71;0.854144;33.5357
iterative;cable_im1;11;5;200;1;36;4871.35;0.857418;33.9091
naive;classroom_im1;3;5;200;1;3;12707.4;0.972787;21.1985
iterative;classroom_im1;3;5;200;1;3;12959.5;0.974389;22.336
naive;classroom_im1;5;5;200;1;8;5785.28;0.963334;20.5635
iterative;classroom_im1;5;5;200;1;8;5993.94;0.964997;20.9269
naive;classroom_im1;7;5;200;1;17;6619.03;0.949018;18.3785
iterative;classroom_im1;7;5;200;1;17;6816.74;0.950178;18.5552
naive;classroom_im1;11;5;200;1;41;7000.54;0.929733;16.1196
iterative;classroom_im1;11;5;200;1;41;7130.72;0.931219;16.3622
naive;mask_im1;3;5;200;1;3;13353.3;0.917029;58.7958
iterative;mask_im1;3;5;200;1;3;14165.4;0.920619;60.5896
naive;mask_im1;5;5;200;1;9;6238.41;0.897762;58.4895
iterative;mask_im1;5;5;200;1;9;6880.98;0.902245;59.3316
naive;mask_im1;7;5;200;1;16;7599.66;0.86365;56.1427
iterative;mask_im1;7;5;200;1;16;8184.32;0.867345;56.5884
naive;mask_im1;11;5;200;1;43;8231.74;0.822004;53.4457
iterative;mask_im1;11;5;200;1;43;8573.93;0.827515;53.9563
naive;baby1;3;5;200;1;0;407.469;0.960465;31.4003
iterative;baby1;3;5;200;1;0;397.666;0.964721;31.5019
naive;baby1;5;5;200;1;0;669.781;0.945365;31.0944
iterative;baby1;5;5;200;1;0;680.262;0.947303;31.1223
naive;baby1;7;5;200;1;1;957.274;0.921734;30.6233
iterative;baby1;7;5;200;1;1;955.705;0.923202;30.647
naive;cloth1;3;5;200;1;0;292.109;0.96382;41.146
iterative;cloth1;3;5;200;1;0;320.851;0.967059;41.3498
naive;cloth1;5;5;200;1;1;498.641;0.949049;40.3091
